# Energy_1	Intensity_1
7.845858343337334873e+02	7.987231822136884902e-05
7.846098439375750786e+02	8.005085262903379026e-05
7.846338535414165563e+02	8.022999596173152408e-05
7.846578631452581476e+02	8.040975102286184253e-05
7.846818727490996253e+02	8.059012063210760086e-05
7.847058823529412166e+02	8.077110762554910088e-05
7.847298919567826943e+02	8.095271485577932810e-05
7.847539015606242856e+02	8.113494519202024593e-05
7.847779111644657632e+02	8.131780152023980826e-05
7.848019207683073546e+02	8.150128674327032717e-05
7.848259303721488322e+02	8.168540378092747770e-05
7.848499399759904236e+02	8.187015557013041392e-05
7.848739495798319012e+02	8.205554506502299623e-05
7.848979591836734926e+02	8.224157523709583193e-05
7.849219687875149702e+02	8.242824907530921013e-05
7.849459783913565616e+02	8.261556958621785283e-05
7.849699879951980392e+02	8.280353979409544902e-05
7.849939975990396306e+02	8.299216274106130311e-05
7.850180072028811082e+02	8.318144148720752536e-05
7.850420168067226996e+02	8.337137911072752341e-05
7.850660264105641772e+02	8.356197870804517140e-05
7.850900360144057686e+02	8.375324339394549700e-05
7.851140456182472462e+02	8.394517630170652037e-05
7.851380552220888376e+02	8.413778058323174373e-05
7.851620648259304289e+02	8.433105940918387406e-05
7.851860744297719066e+02	8.452501596912025356e-05
7.852100840336134979e+02	8.471965347162862885e-05
7.852340936374549756e+02	8.491497514446451941e-05
7.852581032412965669e+02	8.511098423468973790e-05
7.852821128451380446e+02	8.530768400881185928e-05
7.853061224489796359e+02	8.550507775292527548e-05
7.853301320528211136e+02	8.570316877285275156e-05
7.853541416566627049e+02	8.590196039428916379e-05
7.853781512605041826e+02	8.610145596294554950e-05
7.854021608643457739e+02	8.630165884469485091e-05
7.854261704681872516e+02	8.650257242571902786e-05
7.854501800720288429e+02	8.670420011265679387e-05
7.854741896758703206e+02	8.690654533275348002e-05
7.854981992797119119e+02	8.710961153401146795e-05
7.855222088835533896e+02	8.731340218534231704e-05
7.855462184873949809e+02	8.751792077672013832e-05
7.855702280912364586e+02	8.772317081933584933e-05
7.855942376950780499e+02	8.792915584575373294e-05
7.856182472989195276e+02	8.813587941006834851e-05
7.856422569027611189e+02	8.834334508806312351e-05
7.856662665066025966e+02	8.855155647737077487e-05
7.856902761104441879e+02	8.876051719763444845e-05
7.857142857142856656e+02	8.897023089067067467e-05
7.857382953181272569e+02	8.918070122063331340e-05
7.857623049219687346e+02	8.939193187417991129e-05
7.857863145258103259e+02	8.960392656063811316e-05
7.858103241296519172e+02	8.981668901217439106e-05
7.858343337334933949e+02	9.003022298396453499e-05
7.858583433373349862e+02	9.024453225436455028e-05
7.858823529411764639e+02	9.045962062508423841e-05
7.859063625450180552e+02	9.067549192136129270e-05
7.859303721488595329e+02	9.089214999213772515e-05
7.859543817527011242e+02	9.110959871023735035e-05
7.859783913565426019e+02	9.132784197254489563e-05
7.860024009603841932e+02	9.154688370018692733e-05
7.860264105642256709e+02	9.176672783871418651e-05
7.860504201680672622e+02	9.198737835828537475e-05
7.860744297719087399e+02	9.220883925385313547e-05
7.860984393757503312e+02	9.243111454535087555e-05
7.861224489795918089e+02	9.265420827788202636e-05
7.861464585834334002e+02	9.287812452191036188e-05
7.861704681872748779e+02	9.310286737345249881e-05
